RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH
10578,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.585861,-81.833139,Low,
10579,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.557083,-81.737167,Med,
10580,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.55,-81.725,Med,
10581,ST. LAURANT III,"Wreck - Submerged, dangerous to surface navigation",24.554731,-81.736756,Med,
10582,UNKNOWN,Wreck - Visible,24.573333,-81.845833,Med,
179,ERICA OF EXUMA,"Wreck - Submerged, nondangerous",27.666975,-79.883086,Low,0
180,J. SMITH,Not Charted,23.000456,-81.999742,Low,0
192,UNKNOWN,,27.785858,-82.449814,Low,0
194,UNKNOWN,Not Charted,27.795303,-80.409772,Low,0
210,ELIZABETH MASSEY,"Wreck - Submerged, nondangerous",28.153067,-80.010867,Low,0
215,DUNHAM WHEELER,Not Charted,28.1864,-80.327544,Low,0
216,KORSHOLM,Not Charted,28.203064,-80.489769,Low,50
224,CALICO,"Wreck - Submerged, dangerous to surface navigation",28.308617,-80.333097,Low,0
233,CITIES SERVICE EMPIR,Not Charted,28.391947,-80.041422,Low,0
234,UNKNOWN,Not Charted,28.391947,-80.041422,Low,0
235,MOHICAN,"Wreck - Submerged, dangerous to surface navigation",28.397283,-80.535111,High,32
252,LESLIE,Not Charted,28.583606,-80.316431,Low,0
301,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",28.416944,-80.3831,Low,
2,UNKNOWN,Not Charted,22.917111,-78.449556,Low,0
4,CAPTAIN CRUNCH,"Wreck - Submerged, dangerous to surface navigation",25.008333,-80.391667,Low,0
5,TEXAN,Not Charted,22.083792,-77.607789,Low,0
7,VELMA LYKES,Not Charted,21.333753,-86.749675,Low,0
9,JOHN PERICE,Not Charted,23.033736,-86.333106,Low,0
10,ATLANTICA,Not Charted,23.083786,-82.416422,Low,0
12,LYSEFIORD,Not Charted,23.150444,-83.399772,Low,0
13,MILLINOCKET,Not Charted,23.183778,-79.466303,Low,0
14,S.W. SOMERS,Not Charted,23.250453,-82.083092,Low,0
15,NORWALK,Not Charted,23.300444,-79.999675,Low,0
16,RELIEF 89,Not Charted,23.333783,-82.499772,Low,0
17,U-176,Not Charted,23.350444,-80.299694,Low,0
18,FAJA DE ORO,Not Charted,23.500425,-84.399794,Low,0
19,OGONTZ,Not Charted,23.333725,-86.616456,Low,0
20,ANDREW JACKSON,Not Charted,23.533778,-81.033075,Low,0
21,GERTRUDE,Not Charted,23.533781,-81.999775,Low,0
23,PORT ANTONIO,Not Charted,23.650428,-83.9998,Low,0
24,ANDANIA,Not Charted,23.77405,-80.463617,Low,0
25,ROBIN HOOD,Not Charted,24.000442,-82.799814,Low,0
26,UNKNOWN,Not Charted,24.058764,-79.149678,Low,0
27,MANAGUA,Not Charted,24.083772,-81.666467,Low,0
28,MENTOR,Not Charted,24.183703,-87.033153,Low,0
29,U-157,Not Charted,24.217103,-82.049814,Low,0
30,PLANTER,Not Charted,24.300431,-81.133122,Low,0
31,SANTIAGO DE CUBA,Not Charted,24.367097,-81.916481,Low,0
32,UNKNOWN,Not Charted,24.400419,-79.201356,Low,0
33,S-16,Not Charted,24.420431,-82.039817,Low,0
34,GULFSTATE,Not Charted,24.433758,-80.299758,Low,0
35,UNKNOWN,Not Charted,24.458764,-82.164822,Low,0
36,UNKNOWN,Not Charted,24.458764,-82.253158,Low,0
37,UNKNOWN,Not Charted,24.466261,-81.986483,Low,0
38,LAKE CITY,Not Charted,24.500425,-81.483136,Low,0
39,E.J. BULLOCK,Not Charted,24.500433,-82.999842,Poor,0
43,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.534869,-81.844814,Low,0
45,UNKNOWN,Not Charted,24.575425,-82.233158,Low,0
46,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.5782,-81.408692,Med,0
47,HERMIS,Not Charted,24.600422,-83.533172,Poor,0
48,COOT,Not Charted,24.617094,-82.583167,Low,0
49,UNKNOWN,Not Charted,24.625428,-82.880397,Low,0
50,YMS 319,Not Charted,24.633758,-82.166489,Low,0
52,USS EAGLE BOAT,Not Charted,24.640422,-82.108156,Poor,0
53,EAGLE BOAT,Not Charted,24.6407,-82.108156,Low,0
55,H.H. CONWAY,Not Charted,24.667086,-81.066458,Low,0
56,SPINDRIFT,Not Charted,24.667086,-81.799814,Low,0
58,MARIA,Not Charted,24.683753,-81.083128,Low,0
59,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.700417,-80.866456,Low,0
60,MG HEN GIBBON,Not Charted,24.700347,-87.766517,Low,0
64,J.A. MOFFET JR.,"Wreck - Submerged, dangerous to surface navigation",24.783747,-80.699783,Low,0
65,U-2513,Not Charted,24.867083,-83.316511,Low,0
66,YP 331,"Wreck - Submerged, nondangerous",24.935,-81.960278,Low,10
67,UNKNOWN,"Wreck - Submerged, nondangerous",24.942078,-81.959542,Low,10
68,SPOT JACK,Not Charted,24.942083,-82.774842,Low,0
69,GUNDOR,Not Charted,24.948744,-81.776481,Low,0
70,NORLINDO,Not Charted,24.9504,-83.999844,Low,0
71,BOSILJKA,Not Charted,24.950339,-87.958197,Low,0
72,EDWARD LUCKENBACK,Not Charted,24.952078,-81.899819,Low,0
73,VITRIC,Not Charted,24.967072,-80.316439,Low,0
75,NORTHERN LIGHT,Not Charted,25.050403,-80.216436,Low,0
76,BENWOOD,Not Charted,25.052069,-80.333108,Low,0
77,OUTBOUND,Not Charted,25.217061,-79.128869,Low,0
78,BAJA CALIFORNIA,Not Charted,25.233739,-82.449833,Low,0
79,H.M. BICKFORD,Not Charted,25.25035,-86.349858,Low,0
80,UNKNOWN,Not Charted,25.342058,-80.164769,Low,0
81,F.V. SYLVIA,Not Charted,25.367056,-80.1331,Low,0
82,MIMIVA,Not Charted,25.383722,-80.049764,Low,0
84,MONTGOMERY,Not Charted,25.500386,-80.199769,Low,0
85,POTRERO DEL LLANO,Not Charted,25.550383,-79.933092,Poor,0
86,UNTATA,Not Charted,25.583717,-80.033097,Low,0
87,ATHENE,Not Charted,25.583717,-80.083097,Low,0
89,UNKNOWN,Not Charted,25.654544,-79.316386,Low,0
90,GEJA,"Wreck - Submerged, nondangerous",25.703989,-80.010594,Low,0
91,POLAR,Not Charted,25.717042,-80.116433,Low,0
92,UNKNOWN,"Wreck - Submerged, nondangerous",25.783708,-80.049764,Low,0
93,ELIZABETH,Not Charted,25.810375,-80.085597,Low,0
94,UNKNOWN,,25.817042,-80.064764,Low,0
95,TOUCHET,Not Charted,25.833664,-86.499881,Low,0
96,SEMINOLE,Not Charted,25.867039,-79.333056,Low,0
97,EAGLE,Not Charted,25.867047,-82.333158,Low,0
98,MONSTER,Not Charted,25.900369,-79.26305,Low,0
99,CORAL SEA,"Wreck - Submerged, dangerous to surface navigation",25.937044,-82.103153,Low,0
100,PENTREL 14,Not Charted,25.947042,-82.874836,Low,0
101,USS PC 463,Not Charted,25.947042,-82.874836,Low,0
102,JOSEPH M CUDA,Not Charted,25.950364,-83.949853,Low,0
103,UNKNOWN,Not Charted,25.980922,-79.102486,Low,0
104,MONSTER,Not Charted,25.9837,-79.183047,Low,0
105,CONMAR,Not Charted,26.000367,-79.999761,Low,0
108,CRAZY JIM,"Wreck - Submerged, nondangerous",26.017033,-80.033097,Low,0
113,SAMA,Not Charted,26.067031,-79.74975,Low,0
117,FRANK BAKER,Not Charted,26.150361,-79.866422,Low,0
118,ELI ALLEN,Not Charted,26.167028,-79.633075,Low,0
119,UNKNOWN,Not Charted,26.167033,-81.849811,Low,0
123,CUMBERLAND,Not Charted,26.205914,-80.084764,Low,0
124,CG 83421,Not Charted,26.233692,-79.083042,Low,0
127,UNKNOWN,Not Charted,26.347583,-82.116483,Low,0
128,UNKNOWN,Not Charted,26.347583,-82.130372,Low,0
130,UNKNOWN,Not Charted,26.452017,-80.058375,Low,0
132,OHIOAN,Not Charted,26.517014,-79.983094,Low,0
133,UNKNOWN,Not Charted,26.563681,-80.038094,Low,0
137,TORNY,Not Charted,26.666972,-86.666572,Low,0
139,ALLEGHANY,Not Charted,26.700303,-86.799908,Low,0
143,UNKNOWN,Not Charted,26.914225,-79.102492,Low,0
144,M.R. SHAW SR.,Not Charted,26.967,-80.833114,Low,0
145,E.L. COTTINGHAM,Not Charted,26.966975,-85.16655,Low,0
146,SONORA,Not Charted,27.000336,-77.999647,Low,0
147,GULFLAND,Not Charted,27.0045,-80.085875,Low,0
148,REPUBLIC,Not Charted,27.010333,-80.044761,Low,0
150,UNKNOWN,Not Charted,27.018664,-80.079761,Low,0
151,UNKNOWN,Not Charted,27.033664,-79.174717,Low,0
152,UNKNOWN,Not Charted,27.050331,-80.066428,Low,0
153,UNKNOWN,Not Charted,27.069775,-80.06115,Low,0
156,W D ANDERSON,Not Charted,27.150328,-79.933092,Low,0
157,UNKNOWN,Not Charted,27.198658,-80.1631,Low,0
162,UNKNOWN,Not Charted,27.341153,-80.081153,Low,0
163,CONISCLIFFE,Not Charted,27.350319,-79.516403,Low,0
166,AMAZONE,Not Charted,27.394486,-80.051983,Low,0
167,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.394486,-80.053094,Low,
170,UNKNOWN,Not Charted,27.479758,-80.278658,Low,0
2404,PAN MASSACHUSETTS,Not Charted,28.450278,-80.133092,Low,0
12925,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.565133,-81.81015,High,5
13307,IMPATIENCE,Wreck - Visible,28.419722,-80.580556,Med,
13308,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",28.411386,-80.583508,Med,
13872,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.55,-81.725,Med,8
13873,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.55,-81.7,Med,4
13875,UNKNOWN,Wreck - Visible,24.49,-81.677222,Med,1
3197,BELLE TRIX,,26.282031,-82.106483,Low,0
3203,QUEEN B V,"Wreck - Submerged, dangerous to surface navigation",26.888672,-82.131478,Low,0
3205,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",26.882839,-82.060367,Low,0
2672,OCEAN VENUS,"Wreck - Submerged, dangerous to surface navigation",28.388058,-80.294208,Low,
2673,STURTEVANT,"Wreck - Submerged, dangerous to surface navigation",24.76325,-82.019528,Med,47
3232,UNKNOWN,Wreck - Visible,26.965214,-81.992644,High,0
3234,UNKNOWN,"Wreck - Submerged, nondangerous",27.040889,-81.980364,Low,0
3238,BIG WHEEL,,25.167042,-84.99985,Low,0
3268,UNKNOWN,Wreck - Visible,27.097828,-80.294769,Low,0
3269,UNKNOWN,Wreck - Visible,27.129772,-80.267825,Low,0
3271,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.133939,-80.265047,Low,0
3279,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.190047,-80.270603,Low,0
3309,NELLIE,Wreck - Visible,26.917,-80.716444,Low,0
3315,TEGRA,"Wreck - Submerged, dangerous to surface navigation",26.902556,-80.648389,Med,0
2749,ORION,,26.133703,-82.03315,Low,0
2761,LITTLE DAVID,"Wreck - Submerged, dangerous to surface navigation",26.600353,-82.399819,Low,0
2763,UNKNOWN,"Wreck - Submerged, nondangerous",25.483728,-82.449833,Low,0
2768,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",27.466983,-82.708153,Low,0
2777,UNKNOWN,"Wreck - Submerged, nondangerous",26.483689,-82.733161,Low,0
2794,UNKNOWN,"Wreck - Submerged, nondangerous",26.287861,-82.833167,Low,0
2799,UNKNOWN,,26.733667,-83.749853,Low,0
2801,UNKNOWN,,25.425397,-82.916508,Low,0
3104,GOODLUCK,Wreck - Visible,24.603244,-81.886936,High,0
2546,UNKNOWN,Wreck - Visible,24.547925,-81.406467,Low,0
3117,UNKNOWN,Wreck - Visible,24.584489,-81.819156,High,0
3119,UNKNOWN,Wreck - Visible,24.592644,-81.799397,High,0
3121,ERICKSON,"Wreck - Submerged, dangerous to surface navigation",24.586833,-81.809686,High,7
3122,MARIE J. THOMPSON,"Wreck - Submerged, dangerous to surface navigation",24.586375,-81.808875,High,6
3124,UNKNOWN,Wreck - Visible,24.585061,-81.811575,High,0
3126,UNKNOWN,Wreck - Visible,24.582494,-81.811853,High,0
2547,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.558756,-81.416469,Low,0
2832,OUTLAW,,26.750342,-82.999833,Low,0
2836,UNKNOWN,"Wreck - Submerged, nondangerous",26.017033,-83.516514,Low,0
2842,TOOTS,"Wreck - Submerged, nondangerous",25.550381,-83.749847,Low,0
2845,UNKNOWN,"Wreck - Submerged, nondangerous",25.907025,-84.333192,Low,0
2847,UNKNOWN,,27.391653,-80.061261,High,5.9
2851,LAERTES,Not Charted,28.478611,-80.366433,Poor,0
2854,BEACONSHIRE,Not Charted,27.651975,-80.348106,Poor,0
2572,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.543144,-81.825875,High,10
2577,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.550922,-81.817783,High,20
2855,HALSEY,Not Charted,27.383653,-80.133097,Low,0
2856,GEORGES VALENTINE,Not Charted,27.198658,-80.1631,Poor,0
2857,J.H. LANE,Not Charted,27.116994,-80.116431,Poor,0
2858,COPENHAGEN,Not Charted,26.247025,-80.078097,Poor,0
2859,HMS WINCHESTER,Not Charted,25.200397,-80.218103,Poor,0
2860,EL INFANTE,"Wreck - Submerged, dangerous to surface navigation",24.935408,-80.468111,Poor,0
2861,SAN JOSEY LAS AMINAS,"Wreck - Submerged, dangerous to surface navigation",24.918742,-80.518114,Poor,0
2862,ALLIGATOR,"Wreck - Submerged, dangerous to surface navigation",24.852078,-80.61645,Poor,0
2863,EL PODER DE DIOS,"Wreck - Submerged, dangerous to surface navigation",24.817081,-80.699783,Poor,0
2869,UNKNOWN,Not Charted,25.560383,-80.094767,Poor,0
3163,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.657338,-81.898166,Low,29
2922,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.656603,-81.884247,High,24
8471,UNKNOWN,Wreck - Visible,25.590067,-80.162208,High,0
8473,UNKNOWN,Wreck - Visible,25.587803,-80.164758,High,1.3
8474,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.579967,-80.292578,High,0
8475,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.525856,-80.299161,High,0
8476,UNKNOWN,Wreck - Visible,25.530217,-80.2598,High,0
8478,UNKNOWN,Wreck - Visible,25.588006,-80.165431,High,1.2
8484,UNKNOWN,Wreck - Visible,25.6465,-80.174072,High,0
8494,TRESSPASSER,Wreck - Visible,25.507056,-80.258944,Low,0
8265,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.947075,-80.454778,Low,0
8266,ALMA DEAN,"Wreck - Submerged, dangerous to surface navigation",24.75375,-80.816456,Low,0
8267,CAPT CRUNCH,Wreck - Visible,25.008739,-80.391444,Low,0
8268,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.883744,-80.574781,Low,0
8269,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.987072,-80.416444,Low,0
8271,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.670419,-80.963122,Low,0
8272,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.988739,-80.415611,High,0
8273,UNKNOWN,,24.70875,-80.876456,High,14
8275,SCUFFLER,"Wreck - Submerged, dangerous to surface navigation",24.848467,-80.624783,Low,0
7416,MANDALAY,"Wreck - Submerged, dangerous to surface navigation",25.443719,-80.121433,Low,0
7417,ARAKANAPKA,"Wreck - Submerged, dangerous to surface navigation",25.592047,-80.094767,Low,0
7418,LUGANA,"Wreck - Submerged, dangerous to surface navigation",25.443719,-80.119767,Low,0
7419,ADAMELIA,"Wreck - Submerged, dangerous to surface navigation",25.675378,-80.1081,High,0
7421,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.717667,-80.199389,High,9
7422,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.433722,-80.249772,Low,0
7424,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.518717,-80.306442,Low,0
7425,MYSTIC ISLE,"Wreck - Submerged, dangerous to surface navigation",25.710933,-80.080875,High,0
7426,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.667047,-80.233103,Low,0
7429,ERL KING,"Wreck - Submerged, dangerous to surface navigation",25.425389,-80.124767,Low,0
7430,ALICIA,"Wreck - Submerged, dangerous to surface navigation",25.412056,-80.1281,Low,0
8349,SWIFTWATER II,"Wreck - Submerged, dangerous to surface navigation",24.69,-80.856667,Low,0
4563,PANKY,"Wreck - Submerged, nondangerous",25.967022,-84.333192,Low,0
4595,UNKNOWN,Wreck - Visible,24.568633,-81.808881,High,0
4596,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.568825,-81.813756,High,0
4597,UNKNOWN,Wreck - Visible,24.570556,-81.808642,High,0
3719,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",24.950408,-81.499808,Low,0
3720,ESCAPE MACHINE,"Wreck - Submerged, dangerous to surface navigation",25.172069,-81.499808,Low,0
4473,UNKNOWN,,24.70125,-80.866456,Low,62
4474,UNKNOWN,,24.70875,-80.878122,Low,14
4478,UNKNOWN,Wreck - Visible,25.646139,-80.174722,High,0
4479,UNKNOWN,Wreck - Visible,25.6459,-80.174544,High,0
4480,UNKNOWN,Wreck - Visible,25.646669,-80.178997,High,0
4481,UNKNOWN,Wreck - Visible,25.646925,-80.177508,High,0.3
4482,UNKNOWN,Wreck - Visible,25.647358,-80.162864,High,0
4483,UNKNOWN,Wreck - Visible,25.654436,-80.177578,High,0
4484,UNKNOWN,Wreck - Visible,25.654675,-80.164189,High,0
4485,UNKNOWN,Wreck - Visible,25.654833,-80.164,High,0
4486,UNKNOWN,Wreck - Visible,25.685947,-80.180239,High,0
4487,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",25.686394,-80.180256,High,0.6
4489,HALF MOON,"Wreck - Submerged, dangerous to surface navigation",25.727111,-80.134525,High,2.4
53438,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",28.495222,-80.541367,Low,
14406,WRECK,"Wreck - Submerged, dangerous to surface navigation",28.308041,-80.456999,High,52
14407,WRECK,"Wreck - Submerged, dangerous to surface navigation",28.310023,-80.457223,High,48
14404,WRECK,"Wreck - Submerged, dangerous to surface navigation",28.305692,-80.458098,High,52
14762,CAPT CHRIS,"Wreck - Submerged, nondangerous",24.775194,-82.141361,Med,12
14763,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.708361,-81.956778,High,11.42
14765,CAPT CRAIG,"Wreck - Submerged, dangerous to surface navigation",24.833222,-82.049139,Med,10
14769,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.790083,-82.050861,Med,9
14770,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.940083,-81.951583,Med,10
14771,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.952028,-81.954472,Med,9
14988,WRECK,"Wreck - Submerged, dangerous to surface navigation",24.683417,-81.878889,High,24
15171,UNKNOWN,"Wreck - Submerged, nondangerous",25.769667,-80.188,High,3.31
15172,UNKNOWN,"Wreck - Submerged, nondangerous",25.764917,-80.150333,High,12.5
8417,DREADNAUGHT,"Wreck - Submerged, dangerous to surface navigation",46.466008,-86.645711,Med,5
6925,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.600831,-90.878025,High,1
2349,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.417944,-86.661267,Med,0
2351,SMITH MOORE,"Wreck - Submerged, dangerous to surface navigation",46.457167,-86.616436,Low,0
2354,DREDNAUGHT,"Wreck - Submerged, dangerous to surface navigation",46.466081,-86.645658,Low,0
2355,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.475019,-84.302814,High,0
2360,CHARLES J. KERSHAW,Not Charted,46.5,-87.35,Poor,0
2364,SMITH MARE,"Wreck - Submerged, dangerous to surface navigation",46.457011,-86.614797,High,67
2365,SUPERIOR,Not Charted,46.566606,-86.666827,Poor,0
2368,STORUCCA,Not Charted,46.683331,-85.666814,Poor,0
2369,WESTON RESERVE,Not Charted,46.683331,-85.666667,Poor,0
2370,PITZ,Wreck - Visible,46.692264,-91.8584,High,0
2373,UNKNOWN,Wreck - Visible,46.733969,-92.154913,Low,0
2374,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.736189,-92.053856,High,4.1
2375,UNKNOWN,Wreck - Visible,46.738272,-92.094133,High,0
2376,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.758877,-88.458742,High,0
2377,SS ALEY NUMICK,"Wreck - Submerged, dangerous to surface navigation",46.766686,-85.266783,Poor,0
2378,A.A. PARKER,"Wreck - Submerged, nondangerous",46.766644,-85.966833,Poor,0
2379,UNKNOWN,"Wreck - Submerged, nondangerous",46.767519,-85.254839,Low,0
2380,UNKNOWN,,46.782764,-88.481961,Med,0
2381,THOMAS WILSON,"Wreck - Submerged, dangerous to surface navigation",46.78355,-92.069489,High,41.7
2384,UNKNOWN,Wreck - Visible,46.789794,-90.850183,Med,0
2385,UNKNOWN,Wreck - Visible,46.80585,-90.822072,Med,0
2386,PASADENA,Not Charted,47.233258,-88.666788,Poor,0
2387,UNKNOWN,"Wreck - Submerged, nondangerous",46.857266,-91.102103,High,0
2388,BENJAMIN NOBLE,"Wreck - Submerged, nondangerous",46.933333,-91.766667,Poor,0
2390,SEVONA,"Wreck - Submerged, dangerous to surface navigation",47.007956,-90.90205,High,15
2393,ALTADOC,Not Charted,47.399903,-87.700114,Poor,0
2394,STEEL VENDER,Not Charted,47.408239,-87.266789,Poor,0
2395,JAMES PICKANDS,Not Charted,47.433247,-88.283436,Poor,0
2396,WILLIAM C. MORELAND,Not Charted,47.433249,-88.283437,Poor,0
2397,BANGOR,Not Charted,47.466667,-88.15,Poor,0
2398,R.G. COBURN,Not Charted,47.474903,-87.80011,Poor,0
2399,S.R. KIRBY,Not Charted,47.466578,-88.150104,Poor,0
2400,SUNBEAM,Not Charted,47.483233,-87.796777,Poor,0
2401,ALGOMA,Not Charted,47.96655,-88.750078,Poor,0
2402,EMPORER,Not Charted,48.206536,-88.500064,Poor,0
2403,Q.E. PARKS,Not Charted,48.333206,-89.000064,Poor,0
12508,ELY,Wreck - Visible,47.012078,-91.678942,High,
12517,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.751389,-92.075,Low,
12518,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.748914,-92.076667,Low,
12519,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.733917,-92.154581,Low,
2985,PRETORIA,"Wreck - Submerged, dangerous to surface navigation",47.088542,-90.390447,Low,0
2987,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.882431,-90.761294,Low,0
2991,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.858264,-90.780183,Low,0
3001,UNKNOWN,Wreck - Visible,46.781322,-90.86185,Low,0
3057,ELY,"Wreck - Submerged, dangerous to surface navigation",47.011864,-91.678383,Med,0
3343,UNKNOWN,Wreck - Visible,46.604458,-90.947119,High,0
3350,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.587619,-90.904214,High,0
3352,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.598811,-90.877081,High,3
3415,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",46.723547,-90.750181,Med,9
15093,UNKNOWN,Wreck - Visible,29.87925,-81.3166,Low,
8902,GREAT WHITE,"Wreck - Submerged, dangerous to surface navigation",31.927208,-80.909256,High,0.1
8763,UNKNOWN,Wreck - Visible,32.083178,-81.043492,High,0
8764,UNKNOWN,Wreck - Visible,32.098806,-81.108417,High,0
10594,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.515472,-81.208306,High,43
11051,MISS MT. HOPE,"Wreck - Submerged, dangerous to surface navigation",31.5475,-81.098333,Low,
11058,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",32.805444,-79.932778,High,
11772,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.189406,-81.658981,Med,
11773,EIGHT THIRTY,"Wreck - Submerged, dangerous to surface navigation",30.18405,-81.681869,High,8
11136,UNKNOWN,Wreck - Visible,30.682139,-81.460861,High,
11137,UNKNOWN,Wreck - Visible,30.681089,-81.461214,Low,
11138,UNKNOWN,Wreck - Visible,30.667483,-81.468894,Low,
14831,UNKNOWN,Wreck - Visible,30.671917,-81.473972,High,
11474,ESPECO,"Wreck - Submerged, dangerous to surface navigation",31.883408,-80.882614,High,4
10412,UNKNOWN,Wreck - Visible,32.082486,-81.043778,High,
10413,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",32.087097,-81.0466,Low,
10416,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",32.081542,-81.064278,Med,
10417,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",32.086111,-81.094,Med,
10418,UNKNOWN,Wreck - Visible,32.098808,-81.108417,High,
10421,ERIKA J,"Wreck - Submerged, nondangerous",32.755944,-79.8865,High,13
11166,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.21265,-79.089058,High,25
11167,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.212578,-79.08875,High,27
11168,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.212172,-79.086517,High,25
10467,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.427614,-81.240483,High,45.3
11217,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.313458,-81.640292,Low,
11218,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.318306,-81.633583,Med,
11228,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.412514,-81.592578,High,1
11229,UNKNOWN,Wreck - Visible,30.388639,-81.637778,Low,
11233,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",30.393317,-81.478492,High,28.62
14994,UNKNOWN,Wreck - Visible,30.332275,-81.626683,Low,
14995,UNKNOWN,Wreck - Visible,30.330858,-81.627239,Low,
10566,UNKNOWN,Wreck - Visible,32.92195,-79.932897,High,
10567,UNKNOWN,Wreck - Visible,32.917097,-79.927828,High,
539,MOUNT DIRFYS,"Wreck - Submerged, dangerous to surface navigation",33.617342,-77.858056,High,12
540,UNKNOWN,Not Charted,33.641847,-76.507969,Low,0
541,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.741844,-77.170503,Low,0
542,ESSO NASHVILLE,Not Charted,33.758508,-77.221339,Low,0
543,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.758508,-77.224672,Low,0
545,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.807675,-77.965542,Low,
546,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.812675,-77.962208,Low,
547,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.814064,-77.966375,Low,
549,COLDWATER,,33.850186,-75.7496,Low,0
553,ELLA,"Wreck - Submerged, dangerous to surface navigation",33.854897,-78.010267,High,0
554,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.856839,-78.036378,Low,0
557,UNKNOWN,,33.900175,-77.091333,Low,98
559,W H WALKER,Not Charted,33.933508,-76.538528,Low,0
564,CASSIMER,"Wreck - Submerged, dangerous to surface navigation",33.965583,-77.030297,High,84.3
566,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",33.966839,-77.028831,Low,0
260,FREE SPIRIT ENTERPRI,"Wreck - Submerged, dangerous to surface navigation",28.661936,-80.388097,Med,0
326,GHOST,"Wreck - Submerged, dangerous to surface navigation",29.079718,-80.883809,Med,62
